datetime,latitude,longitude,check_dates,check_dups,check_speed,x,y,flag_date,flag_duplicate,flag,flag_position_pass_one,flag_position_pass_two
2019-10-06 17:00:26,84.9618,131.73965,False,False,False,-419755.2937022796,-374509.71652395674,False,False,0,0,0
2019-10-06 17:30:25,84.96151,131.75237,False,False,False,-419696.27960564615,-374624.4426541898,False,False,0,0,0
2019-10-06 18:00:26,84.96119,131.76584,False,False,False,-419634.8265694788,-374746.8836515877,False,False,0,0,0
2019-10-06 18:30:26,84.96082,131.77838,False,False,False,-419583.5841262968,-374866.22300032707,False,False,0,0,0
2019-10-06 19:00:54,84.96039,131.79115,False,False,False,-419535.7956281928,-374991.7033936946,False,False,0,0,0
2019-10-06 19:30:26,84.95992,131.80296,False,False,False,-419497.5840937346,-375113.1274245257,False,False,0,0,0
2019-10-06 20:00:25,84.95934,131.8147,False,False,False,-419468.9462504816,-375242.22219065815,False,False,0,0,0
2019-10-06 20:30:27,84.95872,131.82605,False,False,False,-419446.1539366513,-375371.44221519935,False,False,0,0,0
2019-10-06 21:00:54,84.95806,131.83644,False,False,False,-419432.9436191836,-375496.61727079033,False,False,0,0,0
2019-10-06 21:30:26,84.95742,131.84581,False,False,False,-419424.72619519243,-375612.8444192803,False,False,0,0,0
2019-10-06 22:00:25,84.95677,131.85524,False,False,False,-419416.9195585296,-375730.26261950814,False,False,0,0,0
2019-10-06 22:30:24,84.95616,131.8642,False,False,False,-419408.8449130314,-375841.26944893505,False,False,0,0,0
2019-10-06 23:00:24,84.9556,131.87317,False,False,False,-419396.52602673246,-375948.63233342196,False,False,0,0,0
2019-10-06 23:30:30,84.95529,131.88312,False,False,False,-419356.9840765706,-376044.5511720808,False,False,0,0,0
2019-10-07 00:00:26,84.9548,131.89209,False,False,False,-419338.80548996816,-376146.70605045697,False,False,0,0,0
2019-10-07 00:30:26,84.95454,131.90253,False,False,False,-419291.8515847998,-376242.4833165915,False,False,0,0,0
2019-10-07 01:00:26,84.95431,131.91373,False,False,False,-419237.3938133512,-376341.5809594006,False,False,0,0,0
2019-10-07 01:30:26,84.95414,131.92627,False,False,False,-419169.1283987089,-376446.0020178187,False,False,0,0,0
2019-10-07 02:00:55,84.95395,131.94057,False,False,False,-419090.9302654796,-376564.7763667723,False,False,0,0,0
2019-10-07 02:30:26,84.95377,131.95561,False,False,False,-419007.00412880833,-376688.2008767452,False,False,0,0,0
2019-10-07 03:00:26,84.95354,131.97183,False,False,False,-418919.429316511,-376823.965802401,False,False,0,0,0
2019-10-07 03:30:26,84.95319,131.98891,False,False,False,-418836.1049372749,-376974.95510223025,False,False,0,0,0
2019-10-07 04:00:27,84.95269,132.00656,False,False,False,-418761.4123364297,-377141.29444960394,False,False,0,0,0
2019-10-07 04:30:27,84.9521,132.02467,False,False,False,-418691.0874610187,-377317.7075294189,False,False,0,0,0
2019-10-07 05:00:55,84.95145,132.04335,False,False,False,-418621.90908567264,-377502.7617265,False,False,0,0,0
2019-10-07 05:30:25,84.95074,132.06143,False,False,False,-418561.5799025284,-377687.912709813,False,False,0,0,0
2019-10-07 06:00:26,84.94997,132.07932,False,False,False,-418507.3974588902,-377876.1618333373,False,False,0,0,0
2019-10-07 06:30:28,84.94914,132.0968,False,False,False,-418460.81108575466,-378065.9074858764,False,False,0,0,0
2019-10-07 07:00:26,84.94824,132.11458,False,False,False,-418417.96108455636,-378263.088417696,False,False,0,0,0
2019-10-07 07:30:28,84.94727,132.13139,False,False,False,-418387.2283578053,-378458.43556719244,False,False,0,0,0
2019-10-07 08:00:54,84.94614,132.149,False,False,False,-418364.36564205075,-378671.6184821483,False,False,0,0,0
2019-10-07 08:30:27,84.94503,132.16629,False,False,False,-418341.8734272761,-378880.98858894076,False,False,0,0,0
2019-10-07 09:00:26,84.94382,132.18463,False,False,False,-418320.61328262143,-379105.5382023607,False,False,0,0,0
2019-10-07 09:30:26,84.9427,132.20308,False,False,False,-418291.0852155792,-379324.17030851735,False,False,0,0,0
2019-10-07 10:00:28,84.9416,132.2225,False,False,False,-418253.3815264164,-379548.40403192793,False,False,0,0,0
2019-10-07 10:30:54,84.94054,132.24184,False,False,False,-418212.80003575655,-379769.0714483727,False,False,0,0,0
2019-10-07 11:00:25,84.9395,132.26091,False,False,False,-418172.25630475016,-379986.28335674223,False,False,0,0,0
2019-10-07 11:30:26,84.93845,132.28256,False,False,False,-418115.31895032455,-380223.0888450622,False,False,0,0,0
2019-10-07 12:00:27,84.93743,132.30565,False,False,False,-418046.2246249954,-380468.1593336106,False,False,0,0,0
2019-10-07 12:30:27,84.93645,132.33052,False,False,False,-417961.8734551643,-380723.2154434404,False,False,0,0,0
2019-10-07 13:00:27,84.93539,132.35568,False,False,False,-417882.047443276,-380986.3988117874,False,False,0,0,0
2019-10-07 13:30:54,84.93426,132.38216,False,False,False,-417799.05657585384,-381264.47552955226,False,False,0,0,0
2019-10-07 14:00:26,84.93311,132.40817,False,False,False,-417720.6753296282,-381540.63525340834,False,False,0,0,0
2019-10-07 14:30:26,84.93194,132.43541,False,False,False,-417635.5795668761,-381827.2737269108,False,False,0,0,0
2019-10-07 15:00:26,84.93074,132.46396,False,False,False,-417544.038204766,-382125.72399107163,False,False,0,0,0
2019-10-07 15:30:28,84.92944,132.49269,False,False,False,-417459.3288075128,-382433.0261328573,False,False,0,0,0
2019-10-07 16:00:54,84.92807,132.52188,False,False,False,-417377.0996229673,-382748.9689725839,False,False,0,0,0
2019-10-07 16:30:25,84.92669,132.54979,False,False,False,-417304.0363909045,-383056.35916354135,False,False,0,0,0
2019-10-07 17:00:24,84.92522,132.57822,False,False,False,-417234.6876447786,-383374.34980876057,False,False,0,0,0
2019-10-07 17:30:26,84.92369,132.60741,False,False,False,-417164.963684108,-383702.43131092895,False,False,0,0,0
2019-10-07 18:00:26,84.92219,132.63654,False,False,False,-417092.9533033562,-384027.8371357662,False,False,0,0,0
2019-10-07 18:30:26,84.92067,132.66565,False,False,False,-417022.49480241834,-384354.6355873582,False,False,0,0,0
2019-10-07 19:00:54,84.91913,132.69516,False,False,False,-416950.76628617133,-384685.8855134589,False,False,0,0,0
2019-10-07 19:30:26,84.91765,132.72382,False,False,False,-416879.6008496198,-385006.4368447154,False,False,0,0,0
2019-10-07 20:00:25,84.91617,132.75377,False,False,False,-416799.5433007053,-385336.39736993116,False,False,0,0,0
2019-10-07 20:30:28,84.91479,132.78578,False,False,False,-416697.19967674254,-385673.7828381044,False,False,0,0,0
2019-10-07 21:00:28,84.91351,132.8201,False,False,False,-416570.86193424836,-386020.3859618224,False,False,0,0,0
2019-10-07 21:30:28,84.9122,132.85686,False,False,False,-416430.2578846949,-386386.98708125215,False,False,0,0,0
2019-10-07 22:00:55,84.91068,132.89862,False,False,False,-416272.76700322994,-386805.8425935837,False,False,0,0,0
2019-10-07 22:30:27,84.9091,132.94141,False,False,False,-416112.82617404603,-387236.7146680187,False,False,0,0,0
2019-10-07 23:00:26,84.90745,132.98663,False,False,False,-415941.7451415864,-387690.52949650626,False,False,0,0,0
2019-10-07 23:30:26,84.90585,133.0331,False,False,False,-415757.6608662037,-388149.57888163126,False,False,0,0,0
2019-10-08 00:00:26,84.90422,133.08127,False,False,False,-415564.0197438576,-388623.2009398608,False,False,0,0,0
2019-10-08 00:30:26,84.90256,133.1313,False,False,False,-415359.6871915778,-389112.5439920711,False,False,0,0,0
2019-10-08 01:00:27,84.90077,133.18167,False,False,False,-415163.0814007423,-389614.21565551864,False,False,0,0,0
2019-10-08 01:30:55,84.89886,133.2339,False,False,False,-414963.0044274821,-390138.4841682166,False,False,0,0,0
